Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.50,-.23,-.29,-.05,-.16,-.18,-.26,-.23,-.31,-.43,-.40,-.28,***,***,-.19,-.20,-.33
1881,-.31,-.22,-.03,.01,.04,-.31,.09,-.02,-.25,-.42,-.35,-.22,-.17,-.18,-.31,.01,-.08,-.34
1882,.28,.23,.03,-.30,-.24,-.28,-.26,-.14,-.24,-.51,-.32,-.66,-.20,-.16,.10,-.17,-.23,-.36
1883,-.57,-.65,-.15,-.28,-.23,-.12,-.02,-.21,-.31,-.15,-.41,-.15,-.27,-.31,-.63,-.22,-.12,-.29
1884,-.17,-.11,-.64,-.59,-.35,-.41,-.44,-.50,-.44,-.44,-.57,-.47,-.43,-.40,-.14,-.53,-.45,-.48
1885,-1.01,-.45,-.23,-.48,-.58,-.43,-.33,-.40,-.39,-.36,-.37,-.10,-.43,-.46,-.64,-.43,-.39,-.37
1886,-.74,-.83,-.71,-.36,-.32,-.36,-.13,-.42,-.32,-.30,-.38,-.21,-.42,-.41,-.56,-.46,-.30,-.33
1887,-1.07,-.69,-.43,-.37,-.24,-.19,-.23,-.53,-.20,-.48,-.26,-.42,-.43,-.41,-.66,-.35,-.32,-.31
1888,-.48,-.60,-.63,-.21,-.15,-.02,.00,-.20,-.19,-.03,.00,-.23,-.23,-.24,-.50,-.33,-.07,-.07
1889,-.26,.31,-.02,.16,-.03,-.06,-.08,-.20,-.30,-.42,-.61,-.54,-.17,-.14,-.06,.04,-.11,-.44
1890,-.63,-.57,-.47,-.24,-.35,-.15,-.23,-.38,-.34,-.09,-.62,-.46,-.38,-.38,-.58,-.35,-.25,-.35
1891,-.47,-.68,-.16,-.36,-.15,-.12,-.12,-.13,-.08,-.28,-.53,-.04,-.26,-.29,-.54,-.22,-.12,-.30
1892,-.49,-.15,-.67,-.45,-.23,-.05,-.38,-.33,-.20,-.28,-.82,-.65,-.39,-.34,-.23,-.45,-.25,-.43
1893,-1.52,-.97,-.31,-.29,-.43,-.19,-.14,-.33,-.29,-.28,-.34,-.60,-.47,-.48,-1.05,-.34,-.22,-.30
1894,-.91,-.42,-.21,-.54,-.26,-.40,-.20,-.26,-.32,-.28,-.48,-.35,-.39,-.41,-.65,-.34,-.29,-.36
1895,-.70,-.81,-.49,-.18,-.29,-.20,-.18,-.27,-.06,-.09,-.12,-.22,-.30,-.31,-.62,-.32,-.22,-.09
1896,-.35,-.18,-.49,-.60,-.16,.08,.00,-.11,-.12,.06,-.20,-.21,-.19,-.19,-.25,-.42,-.01,-.09
1897,-.40,-.42,-.40,-.05,.13,-.06,.04,-.07,-.06,-.14,-.26,-.27,-.16,-.16,-.34,-.10,-.03,-.15
1898,.07,-.42,-.78,-.26,-.26,-.06,-.09,-.16,-.16,-.36,-.50,-.26,-.27,-.27,-.21,-.43,-.10,-.34
1899,-.12,-.65,-.59,-.23,-.24,-.35,-.16,-.06,-.04,.05,.37,-.45,-.21,-.19,-.34,-.35,-.19,.12
1900,-.61,-.13,.06,-.09,-.03,-.08,-.10,-.08,-.01,.24,-.11,-.01,-.08,-.12,-.40,-.02,-.09,.04
1901,-.33,-.09,.28,.12,-.11,.02,.02,-.15,-.27,-.30,-.22,-.40,-.12,-.09,-.15,.10,-.04,-.26
1902,-.17,.02,-.38,-.38,-.38,-.36,-.32,-.27,-.33,-.29,-.45,-.59,-.33,-.31,-.18,-.38,-.32,-.36
1903,-.21,.12,-.14,-.45,-.42,-.44,-.43,-.55,-.49,-.49,-.42,-.56,-.37,-.38,-.23,-.34,-.47,-.47
1904,-.77,-.59,-.40,-.50,-.43,-.47,-.58,-.53,-.62,-.39,-.09,-.34,-.47,-.49,-.64,-.44,-.53,-.37
1905,-.41,-.81,-.23,-.46,-.28,-.27,-.21,-.23,-.19,-.27,.08,-.16,-.29,-.30,-.52,-.32,-.24,-.13
1906,-.55,-.52,-.18,.05,-.24,-.11,-.26,-.15,-.24,-.17,-.40,.04,-.23,-.24,-.41,-.13,-.17,-.27
1907,-.57,-.70,-.29,-.44,-.58,-.51,-.40,-.38,-.40,-.20,-.56,-.57,-.46,-.41,-.41,-.43,-.43,-.39
