Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.01,.04,.06,-.01,-.12,-.24,-.17,.07,-.05,-.14,.00,.06,-.04,***,***,-.02,-.11,-.06
1881,-.08,-.06,.10,.10,.09,-.05,-.07,-.02,-.04,.00,.00,.10,.01,.00,-.02,.10,-.05,-.01
1882,.07,.08,.07,-.01,-.04,-.15,-.04,.01,-.04,.03,-.01,-.07,-.01,.01,.08,.01,-.06,-.01
1883,-.02,-.08,-.09,-.07,-.10,-.02,-.08,-.05,-.10,-.06,-.04,-.06,-.06,-.06,-.05,-.08,-.05,-.07
1884,-.08,-.05,-.10,-.21,-.31,-.29,-.21,-.06,-.11,-.06,-.10,-.15,-.15,-.14,-.06,-.21,-.19,-.09
1885,-.19,-.22,-.30,-.35,-.32,-.42,-.33,-.22,-.19,-.13,-.11,-.09,-.24,-.25,-.19,-.32,-.33,-.14
1886,-.14,-.20,-.16,-.19,-.15,-.32,-.21,-.19,-.15,-.24,-.15,-.28,-.20,-.18,-.14,-.17,-.24,-.18
1887,-.36,-.43,-.27,-.31,-.35,-.28,-.27,-.16,-.30,-.22,-.24,-.23,-.28,-.29,-.36,-.31,-.24,-.25
1888,-.20,-.13,-.21,-.20,-.29,-.32,-.21,-.10,-.05,.06,.06,.14,-.12,-.15,-.19,-.24,-.21,.02
1889,.08,.03,.12,.02,.01,-.13,-.07,-.20,-.18,-.10,-.06,-.04,-.04,-.03,.08,.05,-.13,-.11
1890,-.20,-.32,-.34,-.35,-.44,-.33,-.32,-.39,-.39,-.40,-.25,-.17,-.32,-.31,-.19,-.37,-.35,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.29,-.23,-.22,-.24,-.16,-.10,-.05,-.19,-.20,-.21,-.19,-.24,-.17
1892,-.09,-.06,-.14,-.21,-.23,-.39,-.26,-.21,-.13,-.01,-.03,-.11,-.16,-.15,-.07,-.19,-.29,-.06
1893,-.12,-.17,-.12,-.24,-.24,-.32,-.14,-.17,-.17,-.09,-.03,-.03,-.15,-.16,-.14,-.20,-.21,-.10
1894,-.14,-.16,-.24,-.35,-.35,-.40,-.26,-.21,-.23,-.18,-.03,-.06,-.22,-.21,-.11,-.31,-.29,-.15
1895,-.13,-.06,-.16,-.25,-.24,-.21,-.14,-.06,-.18,-.12,-.20,-.05,-.15,-.15,-.08,-.22,-.14,-.17
1896,-.08,-.07,-.04,-.01,-.15,-.29,-.05,.01,-.02,.09,.12,.12,-.03,-.04,-.07,-.06,-.11,.06
1897,.10,.07,.12,.00,-.16,-.16,-.08,-.11,-.10,-.10,-.09,-.12,-.05,-.03,.10,-.01,-.12,-.10
1898,-.09,-.16,-.23,-.34,-.33,-.30,-.33,-.36,-.26,-.32,-.25,-.20,-.26,-.26,-.12,-.30,-.33,-.28
1899,-.20,-.13,-.14,-.17,-.22,-.28,-.15,-.11,-.05,-.13,-.09,-.06,-.14,-.15,-.18,-.18,-.18,-.09
1900,-.10,.03,-.04,-.08,-.13,-.09,-.12,-.08,-.07,-.01,.01,-.10,-.06,-.06,-.04,-.08,-.10,-.02
1901,-.10,-.13,-.15,-.15,-.19,-.25,-.29,-.24,-.17,-.26,-.13,-.14,-.18,-.18,-.11,-.16,-.26,-.19
1902,-.18,-.15,-.18,-.18,-.25,-.23,-.22,-.30,-.24,-.27,-.25,-.23,-.22,-.22,-.16,-.20,-.25,-.25
1903,-.24,-.22,-.30,-.36,-.36,-.39,-.28,-.36,-.51,-.48,-.44,-.46,-.37,-.35,-.23,-.34,-.34,-.47
1904,-.51,-.56,-.57,-.51,-.60,-.48,-.43,-.44,-.48,-.39,-.26,-.32,-.46,-.47,-.51,-.56,-.45,-.38
1905,-.28,-.36,-.21,-.21,-.29,-.27,-.30,-.17,-.18,-.21,-.21,-.08,-.23,-.25,-.32,-.24,-.25,-.20
1906,.01,-.04,-.17,-.15,-.27,-.28,-.19,-.23,-.33,-.24,-.35,-.33,-.21,-.19,-.04,-.19,-.24,-.30
1907,-.27,-.30,-.24,-.29,-.34,-.33,-.30,-.29,-.29,-.26,-.36,-.35,-.30,-.30,-.30,-.29,-.31,-.30
1908,-.34,-.39,-.40,-.41,-.46,-.47,-.34,-.35,-.41,-.43,-.41,-.43,-.40,-.40,-.36,-.42,-.39,-.42
1909,-.50,-.46,-.41,-.52,-.59,-.52,-.45,-.32,-.41,-.46,-.52,-.55,-.48,-.47,-.47,-.51,-.43,-.47
1910,-.48,-.44,-.52,-.45,-.38,-.32,-.31,-.34,-.35,-.51,-.52,-.53,-.43,-.43,-.49,-.45,-.32,-.46
1911,-.53,-.56,-.58,-.61,-.57,-.66,-.46,-.44,-.44,-.33,-.21,-.11,-.46,-.49,-.54,-.59,-.52,-.33
1912,-.14,-.11,-.14,-.18,-.29,-.32,-.32,-.30,-.34,-.30,-.25,-.29,-.25,-.23,-.12,-.20,-.31,-.30
1913,-.24,-.24,-.38,-.28,-.32,-.40,-.20,-.20,-.27,-.24,-.23,-.14,-.26,-.28,-.26,-.33,-.27,-.25
1914,-.07,-.09,-.12,-.19,-.23,-.28,-.13,-.05,-.04,-.05,-.07,-.01,-.11,-.12,-.10,-.18,-.15,-.05
1915,-.13,.02,.04,.06,-.10,-.30,-.14,-.28,-.20,-.21,-.22,-.18,-.14,-.12,-.04,.00,-.24,-.21
1916,-.15,-.13,-.18,-.26,-.33,-.48,-.41,-.20,-.24,-.32,-.48,-.52,-.31,-.28,-.15,-.26,-.36,-.35
1917,-.63,-.59,-.54,-.46,-.38,-.39,-.19,-.07,-.16,-.27,-.36,-.29,-.36,-.38,-.58,-.46,-.21,-.26
1918,-.27,-.24,-.26,-.30,-.38,-.28,-.28,-.26,-.10,-.06,.02,-.01,-.20,-.22,-.26,-.31,-.28,-.05
1919,-.01,-.05,-.03,-.01,-.14,-.32,-.25,-.37,-.32,-.31,-.34,-.28,-.20,-.18,-.02,-.06,-.31,-.32
